"packet_move_category","rptdateenteredondt","count"
Packets moved from Outbound C&P to HRC/VHA,2025-01-31,2
Packets moved from Outbound C&P to HRC/VHA,2025-02-04,4
Packets moved from Outbound C&P to HRC/VHA,2025-02-05,3
Packets moved from Outbound C&P to HRC/VHA,2025-02-06,3
Packets moved from Outbound C&P to HRC/VHA,2025-02-07,20
Packets moved from Outbound C&P to HRC/VHA,2025-02-11,2
Packets moved from Outbound C&P to HRC/VHA,2025-02-13,3
Packets moved from Outbound C&P to HRC/VHA,2025-02-14,1
Packets moved from Outbound C&P to HRC/VHA,2025-02-18,1
Packets moved from Outbound C&P to HRC/VHA,2025-02-20,1
Packets moved from Outbound C&P to HRC/VHA,2025-02-21,1
Packets moved from Outbound C&P to HRC/VHA,2025-02-24,1
Packets moved from Outbound C&P to HRC/VHA,2025-02-25,2
Packets moved from SCI/SPI/SORT/Field to HRC/VHA,2025-02-04,3
Packets moved from SCI/SPI/SORT/Field to HRC/VHA,2025-02-05,2
Packets moved from SCI/SPI/SORT/Field to HRC/VHA,2025-02-06,4
Packets moved from SCI/SPI/SORT/Field to HRC/VHA,2025-02-07,1
Packets moved from SCI/SPI/SORT/Field to HRC/VHA,2025-02-08,1
Packets moved from SCI/SPI/SORT/Field to HRC/VHA,2025-02-10,4
Packets moved from SCI/SPI/SORT/Field to HRC/VHA,2025-02-11,3
Packets moved from SCI/SPI/SORT/Field to HRC/VHA,2025-02-13,6
Packets moved from SCI/SPI/SORT/Field to HRC/VHA,2025-02-18,1
Packets moved from SCI/SPI/SORT/Field to HRC/VHA,2025-02-19,1
Packets moved from SCI/SPI/SORT/Field to HRC/VHA,2025-02-21,1
Packets moved from SCI/SPI/SORT/Field to HRC/VHA,2025-02-24,2
Packets moved from SCI/SPI/SORT/Field to HRC/VHA,2025-02-26,1
Packets moved from SCI/SPI/SORT/Field to HRC/VHA,2025-02-27,1
Packets moved from SCI/SPI/SORT/Field to HRC/VHA,2025-02-28,1
Packets moved from SCI/SPI/SORT to SCO/SPO,2025-01-30,1801
Packets moved from SCI/SPI/SORT to SCO/SPO,2025-01-31,2213
Packets moved from SCI/SPI/SORT to SCO/SPO,2025-02-01,958
Packets moved from SCI/SPI/SORT to SCO/SPO,2025-02-02,43
Packets moved from SCI/SPI/SORT to SCO/SPO,2025-02-03,1901
Packets moved from SCI/SPI/SORT to SCO/SPO,2025-02-04,2189
Packets moved from SCI/SPI/SORT to SCO/SPO,2025-02-05,2070
Packets moved from SCI/SPI/SORT to SCO/SPO,2025-02-06,1835
Packets moved from SCI/SPI/SORT to SCO/SPO,2025-02-07,1723
Packets moved from SCI/SPI/SORT to SCO/SPO,2025-02-08,1715
Packets moved from SCI/SPI/SORT to SCO/SPO,2025-02-09,97
Packets moved from SCI/SPI/SORT to SCO/SPO,2025-02-10,2434
Packets moved from SCI/SPI/SORT to SCO/SPO,2025-02-11,3380
Packets moved from SCI/SPI/SORT to SCO/SPO,2025-02-12,2490
Packets moved from SCI/SPI/SORT to SCO/SPO,2025-02-13,2748
Packets moved from SCI/SPI/SORT to SCO/SPO,2025-02-14,2616
Packets moved from SCI/SPI/SORT to SCO/SPO,2025-02-15,1028
Packets moved from SCI/SPI/SORT to SCO/SPO,2025-02-17,176
Packets moved from SCI/SPI/SORT to SCO/SPO,2025-02-18,1563
Packets moved from SCI/SPI/SORT to SCO/SPO,2025-02-19,1934
Packets moved from SCI/SPI/SORT to SCO/SPO,2025-02-20,2001
Packets moved from SCI/SPI/SORT to SCO/SPO,2025-02-21,1782
Packets moved from SCI/SPI/SORT to SCO/SPO,2025-02-22,708
Packets moved from SCI/SPI/SORT to SCO/SPO,2025-02-23,68
Packets moved from SCI/SPI/SORT to SCO/SPO,2025-02-24,1731
Packets moved from SCI/SPI/SORT to SCO/SPO,2025-02-25,1972
Packets moved from SCI/SPI/SORT to SCO/SPO,2025-02-26,2184
Packets moved from SCI/SPI/SORT to SCO/SPO,2025-02-27,1565
Packets moved from SCI/SPI/SORT to SCO/SPO,2025-02-28,1893
